userid,day,AppCategory_Audio apps,AppCategory_Game apps,AppCategory_Image apps,AppCategory_Maps apps,AppCategory_News apps,AppCategory_Productivity apps,AppCategory_Social apps,AppCategory_Undefined apps,AppCategory_Video apps,AppCategory_Screen on (day),AppCategory_Screen unlock (day),AppCategory_Used duration (day),AppCategory_Screen on (evening),AppCategory_Screen unlock (evening),AppCategory_Used duration (evening),AppCategory_Screen on (night) ,AppCategory_Screen unlock (night),AppCategory_Used duration (night),AppCategory_Used duration (total),AppCategory_Moved distance,AppCategory_Light
5,1,104,5964,0,108,0,37010,21932,32222,8592,114,70,13472,90,66,14556,36,26,25354,53382,108236,10110.46661
5,2,4628,9732,0,0,0,22588,9638,39608,23314,20,20,15548,70,56,22500,12,4,15542,53590,24718,2598.409527
5,3,1446,3548,4,2460,0,11828,32994,35996,9284,116,78,27154,74,64,16146,22,6,16526,59826,28830,8188.665076
5,4,428,0,0,0,0,7124,20282,24868,9070,108,62,12012,64,48,14444,16,4,8696,35152,42488,4995.995862
5,5,740,2876,0,232,0,48762,18454,15198,1836,124,90,27738,36,24,9218,12,4,552,37508,49174,8414.366292
5,6,4532,2032,0,0,0,40449,61669,34134,3738,7684,5332,680348,1056,651,165927,1422,1030,286401,1132676,1520309,436636.6814
5,7,24843,19824,0,6846,0,107474,61100,71602,88993,4333,3177,565616,7392,5624,696604,1727,1072,604226,1866446,4711317,434797.0976
5,8,21360,0,0,84,0,190671,221549,266630,115604,5135,3555,876900,4005,3106,1266030,1040,402,694675,2837605,2574628,282196.036
5,9,33387,0,0,16988,0,50552,190540,63396,170433,731,559,135063,3761,2654,710635,150,150,5025,850723,1006855,89797.27075
5,10,0,0,0,1764,0,166504,258719,224300,65139,480,400,159160,714,502,215617,609,488,301015,675792,570942,79830.62102
5,11,0,0,0,1265,0,15489,214361,50166,3422,576,400,122128,1865,1163,103207,438,227,243591,468926,969261,45236.21124
5,12,0,0,0,669,0,47034,140661,242806,54525,904,618,140196,397,272,110277,128,16,89760,340233,704173,30362.75091
5,13,0,0,0,840,0,10620,100710,163695,21615,795,645,73740,420,300,93195,165,90,136545,303480,401100,36418.27875
5,14,0,21660,0,35865,0,227325,148560,202575,53250,750,405,187665,360,255,84330,360,195,78570,350565,593100,38849.00982
6,1,0,7259,0,518,0,10905,15133,31921,2818,7,5,2211,99,57,14969,0,0,0,17180,27152,1264.753104
6,2,0,1891,1270,613,0,4802,16889,15081,1241,0,0,0,22,16,1753,0,0,0,1753,930,259.8861978
6,3,0,7014,0,87,0,6844,22066,44112,7417,19,8,1430,0,0,0,1,1,1568,2998,17702,958.7219678
6,4,0,4068,0,60,0,14090,33611,16899,244,136,70,7089,0,0,0,0,0,0,7089,6557,1793.243716
6,5,8,5835,717,565,0,2261,18458,28411,7293,4,4,2031,44,18,2733,9,1,2763,7527,23276,782.1867783
6,6,0,3780,4424,1210,0,6948,11870,23501,5204,37,21,10022,0,0,0,16,3,1237,11259,14553,4692.126477
6,7,2353,3987,0,0,0,8832,30429,35805,16745,30,11,5605,9,7,4951,67,14,12785,23341,85046,2970.771308
6,8,0,1050,0,24,0,5936,9945,41945,1782,56,33,4150,0,0,0,0,0,0,4150,26316,2754.210743
6,9,0,3084,34,132,0,3624,28377,17356,11691,62,40,4874,62,39,10947,16,10,2132,17953,560928,1957.27514
6,10,20,2101,153,0,0,9334,19575,30468,4247,0,0,0,6,5,2731,0,0,0,2731,0,1313.343176
6,11,4,4509,0,3876,0,6294,21019,20424,3499,10,7,4316,0,0,0,65,24,5511,9827,515136,2665.876788
6,12,0,1965,0,10316,0,10934,23879,34656,3303,0,0,0,0,0,0,0,0,0,0,56,57.289825
6,13,122,3916,0,363,0,9189,11933,30217,6189,0,0,0,45,36,9102,0,0,0,9102,21652,895.5573917
6,14,50,2342,0,13,0,11463,19622,24301,8407,0,0,0,0,0,0,0,0,0,0,21,36.51987528
7,1,43,45,0,86,0,389,4520,16416,6245,75,57,4686,84,56,10591,18,8,6143,21420,22,2691.362553
7,2,174,35,0,566,0,74,5117,9113,5093,36,27,7123,88,62,5000,23,13,2577,14700,92,2040.753745
7,3,688,86,0,426,0,136,15928,7805,12731,68,46,9146,81,43,8863,4,4,3102,21111,68,1513.423038
