latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
16.443472,30.88892,7.1685963,33.150627,18.467417,20.072657,20.713942,25.316988,45.146557,0,7.5056963,4.8337674,7.3533645,40.30974,16.363579
0,23.44171,7.8265624,10.677887,27.815762,12.773687,17.450426,23.584108,43.733006,0,7.2797832,11.597009,0,29.39184,20.520275
0,30.210659,0,0,30.604288,6.536819,36.964153,22.60661,32.600594,0,12.156567,11.780954,3.7872756,23.82073,19.246365
10.3081,35.975243,11.866199,0,18.701973,11.96927,45.943615,20.492735,16.594597,0,13.189477,5.9964337,4.825785,14.612785,13.329579
14.379175,31.461107,16.157745,2.3744206,0,16.536533,18.917841,24.445831,4.967575,0,8.519541,9.480738,11.550514,11.86876,11.109366
23.928177,18.982124,14.791194,13.0704,4.0374913,12.745112,3.5834744,13.268931,0.86094207,0,14.248847,21.46211,8.831628,9.060996,14.472037
27.04959,14.071758,11.537274,21.2404,5.2901773,9.386387,6.541113,3.883121,8.20612,0,20.596544,18.389559,13.897915,15.553411,7.0970874
19.264553,13.558519,9.137679,21.126637,13.59759,13.568346,5.2017937,12.847184,11.118804,0,17.646288,27.39398,14.997731,34.37543,9.90462
9.772238,15.93667,5.496409,16.756437,24.142094,14.949868,25.683168,11.075306,27.47872,0,15.925093,22.3174,27.49181,27.10637,0
18.839048,31.820135,34.860123,19.909086,22.404524,27.682781,30.931025,18.56886,30.662025,0,13.402795,19.339884,6.0519466,15.944208,14.317119
19.069378,22.307316,17.284483,8.714812,20.69322,12.064594,0,25.63534,11.452823,0,13.168814,15.650523,0,17.948233,8.453083
11.956186,22.951258,7.2110267,19.655815,23.193226,8.83241,15.175807,2.7161522,13.78813,0,3.9489355,9.517132,12.42631,8.497297,8.018616
5.028948,16.988459,18.544508,6.1098204,8.384429,13.35679,10.629505,16.344835,11.30958,0,10.331574,3.8329315,5.677411,26.900093,9.222188
12.422339,13.739998,4.3424034,2.9619231,11.709889,14.493563,7.6206226,0,17.858095,0,5.383856,12.6071415,9.700263,6.466142,13.456183
18.420256,14.313562,9.32312,13.3390665,8.8749895,1.4481362,6.0428295,17.56626,0.27757806,0,15.48053,6.7859206,0,15.605244,7.888043
20.42505,26.478304,7.1965804,18.901468,17.063791,16.19754,12.861495,0,12.763012,0,9.993759,15.441311,9.96279,11.795746,24.800648
13.65422,11.480058,8.21906,9.476184,9.715734,7.1653175,4.110881,13.5855665,5.3828454,0,7.964173,5.9396434,3.8968217,1.9621029,3.3270304
4.3355637,14.370136,4.7424192,16.927246,14.013912,12.670174,5.0022373,8.558266,2.7799647,0,12.34949,1.5524114,6.028714,10.38021,15.485783
4.413467,8.929692,0,12.00466,12.863611,17.47662,17.703035,8.543843,0.83939284,0,0.68997395,11.694225,7.552843,9.624113,13.386077
13.530358,8.229844,8.831412,14.093383,10.530807,12.60705,28.545572,12.395719,8.981205,0,7.6161165,9.722124,13.824068,6.34543,7.0333266
17.5413,14.048112,13.184953,14.112501,14.920995,6.2727757,8.180058,9.190145,8.505227,0,9.804553,7.0262322,2.4594357,5.967867,10.315713
11.630477,8.927096,10.071112,8.289397,15.42459,9.813447,5.1592197,3.9538517,9.663712,0,7.9346724,9.010784,12.721081,7.953234,6.4319882
6.325541,5.836932,6.4307175,8.513066,9.510865,9.449765,3.7948232,2.7235415,7.677245,0,10.916691,3.457232,15.36657,13.420821,8.368875
12.976913,2.678808,8.904561,3.1721606,8.844057,7.6922235,3.6688657,5.6219034,12.891039,0,12.493935,0,10.552286,9.738295,5.8814697
